categoria;produto;slug_produto;variacao;tipo_venda;label_site;unidade_preco;quantidade_pacote;preco;ativo;observacao
Linhas;Linha Chilena;linha-chilena;100jds;linha_jardas;100jds;unidade;;10,00;sim;
Linhas;Linha Chilena;linha-chilena;200jds;linha_jardas;200jds;unidade;;15,00;sim;
Linhas;Linha Chilena;linha-chilena;500jds;linha_jardas;500jds;unidade;;25,00;sim;
Linhas;Linha Chilena;linha-chilena;1000jds;linha_jardas;1000jds;unidade;;50,00;sim;
Linhas;Linha Chilena;linha-chilena;2000jds;linha_jardas;2000jds;unidade;;85,00;sim;
Linhas;Linha Chilena;linha-chilena;3000jds;linha_jardas;3000jds;unidade;;130,00;sim;
Linhas;Linha Chilena;linha-chilena;6000jds;linha_jardas;6000jds;unidade;;200,00;sim;
Linhas;Linha Chilena;linha-chilena;12000jds;linha_jardas;12000jds;unidade;;350,00;sim;
Linhas;Linha Indonésia;linha-indonesia;1000jds;linha_jardas;1000jds;unidade;;80,00;sim;
Linhas;Linha Indonésia;linha-indonesia;2000jds;linha_jardas;2000jds;unidade;;150,00;sim;
Linhas;Linha Indonésia;linha-indonesia;3000jds;linha_jardas;3000jds;unidade;;300,00;sim;
Linhas;Linha Indonésia;linha-indonesia;6000jds;linha_jardas;6000jds;unidade;;450,00;sim;
Linhas;Linha Vera Cruz;linha-vera-cruz;500jds;linha_jardas;500jds;unidade;;12,00;sim;
Linhas;Linha Vera Cruz;linha-vera-cruz;1000jds;linha_jardas;1000jds;unidade;;20,00;sim;
Linhas;Linha Vera Cruz;linha-vera-cruz;3000jds;linha_jardas;3000jds;unidade;;65,00;sim;
Linhas;Linha Vera Cruz;linha-vera-cruz;6000jds;linha_jardas;6000jds;unidade;;100,00;sim;
Linhas;Linha Vera Cruz;linha-vera-cruz;12000jds;linha_jardas;12000jds;unidade;;150,00;sim;
Linhas;Linha Ultra;linha-ultra;500jds;linha_jardas;500jds;unidade;;10,00;sim;
Linhas;Linha Ultra;linha-ultra;1000jds;linha_jardas;1000jds;unidade;;20,00;sim;
Linhas;Linha Ultra;linha-ultra;6000jds;linha_jardas;6000jds;unidade;;85,00;sim;
Linhas;Linha Ultra;linha-ultra;12000jds;linha_jardas;12000jds;unidade;;130,00;sim;
Linhas;Linha Bold;linha-bold;500jds;linha_jardas;500jds;unidade;;10,00;sim;
Linhas;Linha Bold;linha-bold;1000jds;linha_jardas;1000jds;unidade;;20,00;sim;
